Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,y
22,0,32,2,15950,240,4,83,2,1,1,25,746.55,0
28,0,33,4,16190,243,0,79,2,2,1,25,739.485,0
6,0,30,0,8810,109,129,40,3,1,1,30,872.76,0
5,0,17,2,2728,47,35,22,3,1,1,30,251.0,0
0,0,40,0,88,6,8,6,3,1,2,30,35.76,1
8,0,36,1,3025,56,177,23,2,1,1,25,935.145,0
12,0,15,0,8932,171,73,40,4,1,1,45,410.075,0
2,0,34,0,3833,57,0,31,2,1,1,25,175.05,0
0,0,40,0,193,7,11,7,2,1,2,25,58.5,0
24,0,40,4,10130,138,159,45,3,1,1,30,1046.72,0
14,0,37,2,3053,70,380,39,3,1,1,30,1644.92,0
0,0,35,0,6603,111,356,26,2,1,1,25,1904.13,0
13,0,19,1,9013,173,83,44,5,1,1,55,262.29,0
9,0,40,2,3400,33,490,10,3,1,1,30,2097.32,0
5,0,19,3,2547,45,32,18,3,1,1,30,231.68,0
21,0,31,1,15475,228,0,65,2,1,1,25,706.635,0
21,1,30,0,775,39,5,12,2,1,2,25,59.13,1
10,0,43,1,2878,72,20,40,2,1,1,25,222.75,0
11,0,38,3,5115,93,23,40,3,1,1,30,300.32,0
7,1,35,0,2265,54,59,35,3,1,2,30,328.76,1
15,0,40,1,4865,78,21,22,3,1,1,30,281.72,0
5,0,33,1,6975,98,23,25,5,1,1,55,140.595,0
0,0,31,0,2790,15,468,5,3,1,1,30,1984.2,0
0,1,34,0,0,0,0,0,2,1,2,25,0.0,1
20,0,46,2,4763,82,23,43,1,1,1,15,392.975,0
0,0,36,0,3473,79,0,28,2,1,1,25,159.84,0
16,1,38,0,2763,51,50,36,4,1,2,45,195.35,1
5,0,10,0,8448,157,55,33,4,1,1,45,352.625,0
8,0,33,0,5398,86,0,18,2,1,1,25,246.78,1
5,0,39,0,580,10,7,2,2,1,2,25,58.05,0
13,0,32,0,700,31,18,8,3,1,2,30,101.24,0
0,0,35,0,380,7,0,6,2,1,2,25,17.415,0
1,0,34,1,4013,86,16,41,2,1,1,25,256.455,0
0,0,33,2,6255,105,246,33,2,2,1,25,1393.2,0
14,0,38,2,4798,76,22,50,1,1,1,15,389.07,0
0,0,35,0,5595,70,158,9,3,1,1,30,858.6,0
16,0,29,0,1005,31,17,9,3,1,2,30,109.44,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0
1,0,37,1,1783,31,32,10,4,1,1,45,125.35,0
11,0,36,0,2858,65,360,22,2,1,1,25,1751.535,0
